# container: cpu_percent = % de 1 core, ram_mb = cgroup. host: host_cpu_percent = % total, host_ram_mb = /proc/meminfo
# host specs: 8 CPUs, 19.3GB RAM | container limit: 4.0 CPUs, 16.0GB RAM
epoch,mean_cpu,max_cpu,mean_ram_mb,max_ram_mb,mean_host_cpu,max_host_cpu,mean_host_ram_mb,max_host_ram_mb,samples
0,148.83,245.42,1483.8,4229.3,50.24,85.0,11335.9,13589.1,56
1,356.1,431.46,4187.3,4351.4,68.69,94.6,13542.6,13719.7,124
2,363.12,425.65,4234.8,4277.9,69.06,97.9,13518.9,13680.8,122
3,366.33,420.07,4148.4,4207.5,72.55,97.7,13453.9,13701.2,119
4,375.64,422.24,4134.8,4135.3,69.23,95.3,13519.9,13596.9,113
5,365.16,411.38,4136.9,4139.7,70.28,97.7,13452.4,13615.5,121
6,377.67,411.04,4136.8,4220.2,71.16,98.3,13503.8,13664.7,112
7,378.78,418.45,4226.1,4264.1,71.07,97.9,13873.8,13986.8,113
8,376.01,416.32,4110.2,4238.5,71.74,96.1,13892.9,14064.7,114
9,380.56,417.04,4098.6,4101.8,72.28,95.7,13942.8,14178.9,106
10,366.14,415.35,4075.7,4291.6,70.29,94.5,13935.0,14148.0,124
