# container: cpu_percent = % de 1 core, ram_mb = cgroup. host: host_cpu_percent = % total, host_ram_mb = /proc/meminfo
# host specs: 8 CPUs, 19.3GB RAM | container limit: 4.0 CPUs, 16.0GB RAM
timestamp,epoch,cpu_percent,ram_mb,host_cpu_percent,host_ram_mb
2026-06-22T03:32:52.399212,0,161.01,130.9,0.0,1940.6
2026-06-22T03:32:53.400036,0,166.17,243.3,23.2,2016.6
2026-06-22T03:32:54.401367,0,0.65,244.1,0.3,2017.2
2026-06-22T03:32:55.402685,0,0.43,244.0,0.6,2017.4
2026-06-22T03:32:56.404084,0,0.64,244.6,1.4,2007.2
2026-06-22T03:32:57.405369,0,6.04,248.9,2.1,2003.5
2026-06-22T03:32:58.406665,0,10.97,255.2,4.5,2004.2
2026-06-22T03:32:59.407976,0,10.86,262.6,4.1,2005.0
2026-06-22T03:33:00.408787,0,12.23,272.2,6.4,1991.6
2026-06-22T03:33:01.410087,0,11.21,280.7,5.4,1991.6
2026-06-22T03:33:02.411449,0,2.07,282.1,1.0,1994.8
2026-06-22T03:33:03.412803,0,2.43,285.6,1.4,1991.8
2026-06-22T03:33:04.414161,0,1.55,286.9,0.4,1990.3
2026-06-22T03:33:05.415515,0,3.5,288.1,1.0,1989.7
2026-06-22T03:33:06.416860,0,2.41,288.9,1.5,1993.7
2026-06-22T03:33:07.418314,0,3.38,289.8,1.3,1993.0
2026-06-22T03:33:08.419667,0,4.29,290.9,1.0,1993.7
2026-06-22T03:33:09.420082,0,4.33,292.1,1.4,1987.8
2026-06-22T03:33:10.421392,0,2.09,293.0,1.3,1985.3
2026-06-22T03:33:11.422762,0,1.57,293.9,1.9,1985.4
2026-06-22T03:33:12.424123,0,1.87,294.8,1.5,1985.1
2026-06-22T03:33:13.425451,0,2.03,295.9,0.6,1985.7
2026-06-22T03:33:14.426782,0,1.79,297.0,1.1,1985.4
2026-06-22T03:33:15.428140,0,1.53,297.9,1.0,1985.3
2026-06-22T03:33:16.429455,0,1.84,298.9,2.5,1985.6
2026-06-22T03:33:17.430839,0,2.33,300.1,0.8,1985.9
2026-06-22T03:33:18.432036,0,2.67,301.6,1.0,1985.9
2026-06-22T03:33:19.433341,0,3.33,303.3,1.3,1986.3
2026-06-22T03:33:20.434700,0,97.18,433.9,13.9,2049.5
2026-06-22T03:33:21.436058,0,100.42,547.6,16.0,2163.7
2026-06-22T03:33:22.437443,0,100.03,661.1,14.1,2277.1
2026-06-22T03:33:23.438795,0,100.02,779.4,14.9,2394.8
2026-06-22T03:33:24.440082,0,100.43,887.7,14.2,2503.1
2026-06-22T03:33:25.441445,0,100.02,1001.4,14.3,2616.5
2026-06-22T03:33:26.442801,0,100.03,1110.9,15.3,2726.9
2026-06-22T03:33:27.444214,0,99.21,2430.3,14.1,4046.3
2026-06-22T03:33:28.445583,0,158.5,3808.9,22.6,4604.6
2026-06-22T03:33:29.446955,1,120.08,3785.4,17.5,4579.8
2026-06-22T03:33:30.448168,1,129.05,4083.3,18.4,4874.2
2026-06-22T03:33:31.449529,1,274.31,4169.3,36.0,4960.7
2026-06-22T03:33:32.452143,1,261.56,4504.7,33.6,5291.1
2026-06-22T03:33:33.504459,1,404.81,4524.0,50.9,5311.4
2026-06-22T03:33:34.505937,1,370.52,4525.4,48.9,5330.2
2026-06-22T03:33:35.507302,1,197.71,4525.3,25.4,5330.4
2026-06-22T03:33:36.511243,1,355.82,4575.8,47.3,5382.6
2026-06-22T03:33:37.542359,1,404.28,4575.9,54.9,5383.3
2026-06-22T03:33:38.544174,1,182.45,4575.9,21.7,5383.4
2026-06-22T03:33:39.545648,1,267.42,4575.9,34.8,5368.3
2026-06-22T03:33:40.547084,1,138.1,4575.9,17.3,5368.2
2026-06-22T03:33:41.548189,1,346.71,4605.4,45.9,5399.7
2026-06-22T03:33:42.624491,1,412.06,4605.3,52.3,5400.7
2026-06-22T03:33:43.631424,1,323.46,4605.8,45.8,5400.8
2026-06-22T03:33:44.632115,1,175.83,4605.8,21.7,5400.8
2026-06-22T03:33:45.633592,1,367.11,4628.8,47.8,5423.7
2026-06-22T03:33:46.635126,1,400.4,4629.9,54.0,5428.4
2026-06-22T03:33:47.636507,1,181.14,4629.9,22.5,5428.7
2026-06-22T03:33:48.637865,1,306.27,4629.9,39.9,5423.0
2026-06-22T03:33:49.639652,1,237.78,4634.9,29.9,5425.5
2026-06-22T03:33:50.640295,1,405.34,4642.7,54.0,5432.2
2026-06-22T03:33:51.641672,1,288.23,4642.4,38.6,5433.2
2026-06-22T03:33:52.643205,1,276.46,4642.7,36.2,5434.2
2026-06-22T03:33:53.644161,1,153.37,4642.7,19.2,5434.2
2026-06-22T03:33:54.645651,1,408.18,4711.4,53.6,5501.8
2026-06-22T03:33:55.647083,1,387.63,4711.1,51.7,5501.8
2026-06-22T03:33:56.648183,1,193.98,4711.0,25.3,5503.1
2026-06-22T03:33:57.649598,1,214.31,4711.0,27.3,5503.1
2026-06-22T03:33:58.651095,1,345.05,4715.4,44.7,5504.5
2026-06-22T03:33:59.711342,1,407.98,4715.4,51.5,5504.5
2026-06-22T03:34:00.712213,1,381.23,4715.1,49.9,5520.8
2026-06-22T03:34:01.714926,1,155.89,4715.5,20.3,5522.1
2026-06-22T03:34:02.716187,1,405.51,4719.7,53.3,5525.5
2026-06-22T03:34:03.717632,1,355.95,4719.6,46.9,5527.0
2026-06-22T03:34:04.719163,1,207.49,4731.2,26.3,5536.1
2026-06-22T03:34:05.720599,1,218.09,4731.2,27.8,5536.1
2026-06-22T03:34:06.723269,1,324.98,4736.8,43.8,5542.9
