# container: cpu_percent = % de 1 core, ram_mb = cgroup. host: host_cpu_percent = % total, host_ram_mb = /proc/meminfo
# host specs: 8 CPUs, 19.3GB RAM | container limit: 4.0 CPUs, 16.0GB RAM
epoch,mean_cpu,max_cpu,mean_ram_mb,max_ram_mb,mean_host_cpu,max_host_cpu,mean_host_ram_mb,max_host_ram_mb,samples
0,28.51,169.84,402.4,3088.0,4.92,25.3,2142.3,3957.8,56
1,287.9,426.86,4710.9,4805.1,37.47,55.6,5570.5,5676.3,131
2,301.32,417.82,5019.4,5032.3,39.13,54.9,5874.0,5897.4,122
3,300.68,426.04,5032.9,5033.9,39.08,57.7,5887.6,5900.7,122
4,300.73,420.18,5033.1,5034.1,39.15,56.7,5890.2,5908.7,123
5,304.36,424.16,5033.3,5033.8,39.55,55.2,5893.1,5907.5,121
6,303.48,417.06,5033.5,5034.3,39.5,57.3,5894.3,5909.6,121
7,305.07,433.89,5048.8,5060.9,39.74,55.8,5912.0,5934.4,121
8,301.52,413.28,5060.2,5060.9,39.25,55.4,5924.3,5940.7,122
9,306.54,418.48,5076.9,5091.3,39.82,55.2,5940.5,5966.8,120
10,291.06,421.57,5055.3,5247.9,37.87,56.0,5921.0,6111.4,140
